sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
77,PARDUS,Pardus,PARDUS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BHH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,367908368.14,71,0.189887,1937513173
78,PARDUS,Pardus,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PBY,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,161013434.51,54,1.200224,134152805
79,PARDUS,Pardus,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BSE,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,227317820.81,65,0.324876,699706389
80,PARDUS,Pardus,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BDI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,271188587.4,72,0.000251,1078899892195
81,PARDUS,Pardus,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AC7,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,3033937250.7,44,4.703049,645100136
82,PARDUS,Pardus,PARDUS PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PCH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,946947255.47,56,4.279875,221255824
83,PARDUS,Pardus,PARDUS PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PDH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,5679008506.28,78,20.241988,280555872
84,PARDUS,Pardus,PARDUS PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),DHI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2107618683.55,46,0.398742,5285672299
85,PARDUS,Pardus,PARDUS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),DRH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,381045370.11,70,1.387496,274628048
86,PARDUS,Pardus,PARDUS PORTFÖY GÜNEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PGE,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,10672690552.28,45,26.428842,403827399
